AO001,AO002,AO003,AO004,AO005,AO006,AO007,AO008,AO009,AO010,AO011,AO012,AO013,AO014,AO015,AO016,AO017,AO018,AO019,AO020,MSD_TRACKID
0.9295,6720.0,44100.0,160800000.0,1060000000.0,6985000000.0,7095000000000.0,9545000000.0,62930000000.0,2037000000000000.0,2.666,11580.0,74040.0,-179200000.0,-1153000000.0,-7420000000.0,6242000000000.0,10370000000.0,66800000000.0,1694000000000000.0,'TRHFHYX12903CAF953'
1.883,6712.0,49060.0,160600000.0,1176000000.0,8609000000.0,7083000000000.0,10580000000.0,77440000000.0,2781000000000000.0,8.87,11580.0,85200.0,-179100000.0,-1316000000.0,-9660000000.0,6233000000000.0,11820000000.0,86800000000.0,2463000000000000.0,'TRHFHAU128F9341A0E'
1.884,6722.0,56130.0,161000000.0,1346000000.0,11270000000.0,7112000000000.0,12110000000.0,101400000000.0,4193000000000000.0,4.328,11600.0,93320.0,-179700000.0,-1459000000.0,-11850000000.0,6262000000000.0,13110000000.0,106600000000.0,3432000000000000.0,'TRHFHLP128F14947A7'
1.52,6709.0,53230.0,160500000.0,1295000000.0,10450000000.0,7076000000000.0,11640000000.0,93920000000.0,3751000000000000.0,8.452,11580.0,93650.0,-179000000.0,-1441000000.0,-11590000000.0,6230000000000.0,12930000000.0,104100000000.0,3248000000000000.0,'TRHFHFF128F930AC11'
1.363,6710.0,28750.0,160500000.0,690000000.0,2965000000.0,7075000000000.0,6194000000.0,26630000000.0,562100000000000.0,2.787,11580.0,49990.0,-179000000.0,-771300000.0,-3322000000.0,6227000000000.0,6920000000.0,29830000000.0,497000000000000.0,'TRHFHYJ128F4234782'
0.8262,3355.0,17310.0,39930000.0,208000000.0,1082000000.0,877500000000.0,1857000000.0,9673000000.0,124800000000000.0,2.137,5759.0,30380.0,-44380000.0,-232800000.0,-1220000000.0,770000000000.0,2073000000.0,10880000000.0,110300000000000.0,'TRHFHHR128F9339010'
0.7786,6717.0,35320.0,160900000.0,832200000.0,4300000000.0,7108000000000.0,7480000000.0,38670000000.0,978300000000000.0,1.112,11600.0,60300.0,-179600000.0,-936200000.0,-4878000000.0,6259000000000.0,8417000000.0,43890000000.0,881200000000000.0,'TRHFHMB128F4213BC9'
0.7986,6712.0,21250.0,160600000.0,506300000.0,1595000000.0,7086000000000.0,4543000000.0,14320000000.0,221600000000000.0,2.462,11580.0,35580.0,-179100000.0,-554400000.0,-1714000000.0,6235000000000.0,4970000000.0,15390000000.0,187400000000000.0,'TRHFHWT128F429032D'
1.778,6735.0,49540.0,161700000.0,1215000000.0,9135000000.0,7156000000000.0,10930000000.0,82250000000.0,3068000000000000.0,4.074,11630.0,98780.0,-180400000.0,-1478000000.0,-12200000000.0,6302000000000.0,13300000000.0,109900000000.0,3288000000000000.0,'TRHFHKO12903CBAF09'
2.191,6742.0,54680.0,162100000.0,1307000000.0,10520000000.0,7188000000000.0,11770000000.0,94870000000.0,3756000000000000.0,5.563,11650.0,93180.0,-181100000.0,-1454000000.0,-11660000000.0,6333000000000.0,13080000000.0,105000000000.0,3285000000000000.0,'TRHFHOB128F425F027'
