LP001,LP002,LP003,LP004,LP005,LP006,LP007,LP008,LP009,LP010,LP011,LP012,LP013,LP014,LP015,LP016,LP017,LP018,LP019,LP020,MSD_TRACKID
0.05153,0.1267,0.163,0.1528,0.1127,0.1794,0.07344,0.08478,0.06295,0.0,-0.9618,0.7336,0.1151,-0.2112,-0.2369,0.1443,-0.0817,-0.0135,-0.1316,0.0,'TRMMMKD128F425225D'
0.04112,0.1182,0.1352,0.09433,0.1448,0.1185,0.1071,0.08826,0.1259,0.0,-0.9745,0.3939,-0.2454,-0.08293,-0.32,0.1167,-0.08704,-0.1001,-0.1458,0.0,'TRMMMRX128F93187D9'
0.08796,0.1409,0.1781,0.1308,0.1569,0.1263,0.1265,0.1007,0.105,0.0,-0.9359,0.459,-0.2506,0.01747,-0.2836,0.2195,-0.05511,-0.02631,-0.09313,0.0,'TRMMMCH128F425532C'
0.02573,0.1512,0.1432,0.1431,0.1065,0.1196,0.07276,0.08836,0.05992,0.0,-0.9877,0.6478,0.09408,0.06476,-0.01578,0.06642,0.004455,-0.01168,-0.03808,0.0,'TRMMMWA128F426B589'
0.06299,0.1687,0.2388,0.132,0.08475,0.06562,0.06014,0.05282,0.04786,0.0,-0.9855,0.7614,0.153,0.0241,-0.02532,-0.02112,0.001393,0.01374,0.0139,0.0,'TRMMMXN128F42936A5'
0.06746,0.1866,0.2272,0.1284,0.1733,0.1397,0.1197,0.1037,0.09694,0.0,-0.9682,0.5433,-0.08177,0.02973,-0.1414,0.1862,0.02864,-0.01821,-0.03946,0.0,'TRMMMLR128F1494097'
0.09617,0.2312,0.2628,0.2096,0.1892,0.1305,0.1186,0.1038,0.093,0.0,-0.9601,0.5177,-0.2919,0.1082,-0.06931,-0.01318,-0.03435,-0.03918,-0.04058,0.0,'TRMMMBB12903CB7D21'
0.03802,0.1455,0.1362,0.1972,0.1251,0.1431,0.1183,0.0926,0.07677,0.0,-0.982,0.7031,0.1291,-0.132,-0.1526,0.09883,-0.03901,0.02132,-0.05838,0.0,'TRMMMHY12903CB53F1'
0.04802,0.1631,0.289,0.2043,0.1498,0.1242,0.1169,0.09305,0.09074,0.0,-0.9704,0.7497,-0.07643,0.047,-0.08812,0.05184,0.01012,0.02777,0.04266,0.0,'TRMMMML128F4280EE9'
0.04885,0.2268,0.1721,0.1552,0.1492,0.1024,0.09729,0.07877,0.0742,0.0,-0.9902,0.4553,0.1664,0.0644,0.002278,0.04538,0.003722,0.0196,-0.006248,0.0,'TRMMMNS128F93548E1'
