TI001,TI002,TI003,TI004,TI005,TI006,TI007,TI008,TI009,TI010,TI011,TI012,TI013,TI014,TI015,TI016,TI017,TI018,TI019,TI020,TI021,TI022,TI023,TI024,TI025,TI026,TI027,TI028,TI029,TI030,TI031,TI032,TI033,TI034,TI035,TI036,TI037,TI038,TI039,TI040,TI041,TI042,TI043,TI044,TI045,TI046,TI047,TI048,TI049,TI050,TI051,TI052,TI053,TI054,TI055,TI056,TI057,TI058,TI059,TI060,TI061,TI062,TI063,TI064,TI065,TI066,TI067,TI068,TI069,TI070,TI071,TI072,TI073,TI074,TI075,TI076,TI077,TI078,TI079,TI080,TI081,TI082,TI083,TI084,TI085,TI086,TI087,TI088,TI089,TI090,TI091,TI092,TI093,TI094,TI095,TI096,TI097,TI098,TI099,TI100,TI101,TI102,TI103,TI104,TI105,TI106,TI107,TI108,TI109,TI110,TI111,TI112,TI113,TI114,TI115,TI116,TI117,TI118,TI119,TI120,TI121,TI122,TI123,TI124,TI125
0.133675,0.100968,0.229477,0.087755,-42.694424,3.856577,-0.623697,0.510768,0.157851,-0.191616,0.30185,0.024015,-0.091436,-0.015676,-0.061823,-0.30368,-0.147749,0.001125,0.001033,0.001005,0.00096,0.000964,0.001072,0.001062,0.001071,0.001032,0.001069,0.001056,0.001062,1.889073,4.576693,0.047304,0.041961,0.127763,0.0287,2.080116,0.847814,0.682191,0.664379,0.531058,0.501719,0.464267,0.479464,0.429433,0.497675,0.465323,0.43553,0.456517,0.001132,0.000987,0.000944,0.001017,0.001143,0.001297,0.001372,0.001466,0.001481,0.001415,0.001304,0.001208,0.533734,3.395275,0.026419,0.036922,0.083331,0.055278,5.860358,0.66379,0.576297,0.551533,0.353514,0.255108,0.272622,0.257163,0.20536,0.347612,0.266346,0.219657,0.281354,0.000502,0.000506,0.000505,0.000443,0.00036,0.000386,0.000362,0.000393,0.000338,0.000341,0.000411,0.000402,0.331519,2.064383,0.02121,0.025327,0.073653,0.032038,2.390127,0.239003,0.266194,0.193064,0.145407,0.109732,0.103178,0.11857,0.098087,0.117216,0.099851,0.090568,0.101732,0.000413,0.000347,0.000345,0.000345,0.00041,0.00049,0.00048,0.000506,0.000496,0.000461,0.000448,0.000425,0.256402,2.877227,TRSUFSW128F4284B04
0.198948,0.17707,0.292963,0.087348,-38.52392,0.690861,-2.264458,1.314971,0.207455,0.143965,1.007137,0.50512,0.303066,0.493323,0.30164,0.22609,0.082468,0.001979,0.001788,0.001804,0.001865,0.002273,0.00259,0.002595,0.002395,0.002028,0.00165,0.001471,0.001692,1.812164,3.514465,0.018457,0.021169,0.033571,0.028851,0.859717,0.494049,0.469065,0.473079,0.387274,0.407956,0.423817,0.383566,0.390205,0.361329,0.359586,0.354579,0.343141,0.000776,0.000765,0.000791,0.00074,0.000923,0.000986,0.00092,0.000844,0.000738,0.000646,0.000599,0.000666,0.348366,1.288151,0.020438,0.022533,0.049599,0.055093,5.640201,0.35884,0.359931,0.39577,0.22348,0.278801,0.271367,0.242014,0.251893,0.167755,0.22946,0.188632,0.159122,0.000748,0.000764,0.000764,0.000684,0.000712,0.00077,0.000758,0.000702,0.000635,0.000554,0.000549,0.000635,0.158691,0.794035,0.009173,0.010585,0.03004,0.031351,2.450831,0.141124,0.151407,0.171247,0.081675,0.103687,0.099022,0.079496,0.086558,0.065442,0.06829,0.064714,0.06803,0.000397,0.000499,0.000482,0.000329,0.000361,0.000351,0.000282,0.000288,0.000292,0.000281,0.000289,0.000375,0.080737,0.524488,TRSUFUP128F42561A2
0.086491,0.061144,0.132627,0.094506,-43.728943,3.964348,0.94362,1.687271,0.44188,0.541842,-0.058364,0.127661,0.088111,0.105801,0.013288,0.102788,0.084221,0.002155,0.002014,0.002011,0.002117,0.002081,0.002159,0.002038,0.00186,0.001757,0.001782,0.001842,0.002061,1.692281,4.827314,0.038269,0.033496,0.09941,0.034816,2.375141,0.939956,0.709136,0.672817,0.565731,0.4916,0.510435,0.467404,0.484078,0.457284,0.441238,0.429194,0.398032,0.001468,0.001371,0.001392,0.001512,0.001439,0.001555,0.001513,0.001437,0.001381,0.001343,0.001375,0.00149,0.419706,3.930602,0.039932,0.046902,0.10644,0.072483,4.353098,0.975812,0.740976,0.760546,0.488242,0.393467,0.441562,0.308043,0.431733,0.36411,0.306119,0.281761,0.260603,0.001619,0.001541,0.001449,0.0017,0.001381,0.001369,0.001237,0.001085,0.000969,0.00096,0.001099,0.001498,0.462038,5.764095,0.035231,0.041308,0.085476,0.04298,3.904459,0.417581,0.23976,0.214273,0.153733,0.100785,0.139485,0.130159,0.142109,0.122172,0.109806,0.106446,0.083339,0.000864,0.001027,0.001059,0.0013,0.000992,0.001156,0.001039,0.000951,0.000896,0.000822,0.00077,0.000847,0.277738,7.509386,TRSUFWL128F42956C9
0.17056,0.206775,0.451917,0.108458,-62.959637,1.115836,0.030579,-0.110063,-0.17779,0.222752,-0.536507,0.096879,0.102882,0.306839,0.083992,0.061811,-0.130472,0.000422,0.000367,0.000381,0.000358,0.000339,0.000485,0.000555,0.000548,0.000542,0.000514,0.000648,0.000638,2.369891,36.178238,0.079667,0.099986,0.163347,0.04217,6.310115,2.018629,1.355843,1.089582,0.879828,0.778749,0.716442,0.607306,0.59116,0.594907,0.600131,0.568071,0.613181,0.000665,0.000618,0.000661,0.000601,0.000596,0.000909,0.001021,0.001014,0.000944,0.000818,0.000933,0.000941,0.767603,54.423875,0.066498,0.06248,0.20429,0.073654,17.842917,1.447569,1.324457,1.346694,0.884019,0.941769,0.711167,0.38058,0.45293,0.564256,0.441313,0.375995,0.55016,0.000631,0.000558,0.000617,0.000678,0.000533,0.000814,0.000878,0.000833,0.000918,0.000702,0.001272,0.00116,0.95277,46.725964,0.054666,0.051081,0.084144,0.041758,5.434857,1.446931,0.836987,0.593838,0.448567,0.35088,0.295985,0.224155,0.233647,0.223175,0.285323,0.292657,0.38621,0.001084,0.000999,0.001083,0.001081,0.000965,0.001632,0.001724,0.001587,0.001472,0.001094,0.001588,0.001523,0.51268,80.313907,TRSUFQR12903CD493C
0.151466,0.108977,0.262887,0.083422,-36.271229,3.478046,-0.382493,0.235853,-0.560301,-0.025379,-0.566693,0.087607,0.097451,0.462105,0.33932,0.060384,0.250824,0.003612,0.003331,0.00385,0.003692,0.003903,0.00465,0.004692,0.004481,0.004487,0.005478,0.004871,0.003823,1.617366,2.733445,0.034975,0.030797,0.087644,0.027652,0.965867,0.579066,0.40687,0.463874,0.457437,0.407585,0.400203,0.394622,0.381308,0.35605,0.362484,0.354051,0.335232,0.001651,0.0014,0.001432,0.001518,0.00162,0.001804,0.001849,0.002053,0.002014,0.002118,0.001963,0.001734,0.347169,1.088163,0.018128,0.033161,0.069921,0.074595,2.345509,0.412546,0.199994,0.231491,0.205061,0.218347,0.194942,0.163488,0.158383,0.179301,0.144707,0.239228,0.16784,0.000776,0.000745,0.000893,0.000857,0.00092,0.001235,0.001033,0.001102,0.000983,0.00126,0.001135,0.000799,0.195179,0.545678,0.008589,0.016631,0.033877,0.042363,3.133478,0.178088,0.087756,0.09866,0.077472,0.075541,0.068726,0.076004,0.071554,0.072711,0.076408,0.068391,0.06172,0.000423,0.000381,0.000384,0.000416,0.000438,0.000515,0.000525,0.00061,0.000541,0.000504,0.000523,0.000459,0.122107,0.483312,TRSUFHU12903CD842F
0.157378,0.123143,0.297925,0.097529,-42.808992,2.122223,-0.139964,1.220489,0.418734,0.42664,0.273076,-0.073336,0.322281,0.272294,0.045902,0.102321,0.044605,0.002301,0.00214,0.002022,0.002103,0.00218,0.002241,0.002355,0.002513,0.002551,0.002478,0.002441,0.00239,1.578443,3.118019,0.079651,0.082379,0.182732,0.034694,3.401209,1.333518,1.103847,0.996951,0.797161,0.647573,0.603677,0.51099,0.495452,0.506542,0.476543,0.443408,0.41806,0.002477,0.002526,0.002476,0.002532,0.002553,0.002514,0.002549,0.00263,0.002643,0.002474,0.00244,0.002459,0.404506,2.117459,0.050703,0.049497,0.09948,0.056401,5.65096,0.764706,0.66602,0.449485,0.355949,0.33627,0.274689,0.227494,0.218177,0.189251,0.158492,0.151122,0.141899,0.001247,0.001212,0.001239,0.001385,0.001458,0.001512,0.001568,0.001616,0.001615,0.001541,0.001412,0.001298,0.213603,1.206688,0.037586,0.040444,0.066821,0.03169,2.220204,0.437099,0.418566,0.26748,0.212149,0.174396,0.143125,0.118236,0.099688,0.110432,0.091521,0.086221,0.082118,0.001451,0.001626,0.001763,0.002019,0.002095,0.002093,0.002092,0.002031,0.001923,0.001749,0.001572,0.001424,0.181828,1.447693,TRSUQWS128F4288B48
0.089715,0.068383,0.127582,0.083627,-48.063674,4.515956,-0.742087,0.692391,0.242253,0.726215,0.29087,0.380071,-0.040808,-0.116243,-0.144806,-0.067332,-0.04807,0.000243,0.000266,0.00027,0.000257,0.000312,0.000293,0.000285,0.000329,0.00032,0.000303,0.000256,0.000241,2.355863,7.813027,0.02028,0.018694,0.042552,0.027577,1.119621,0.701057,0.582414,0.474171,0.466397,0.437941,0.437797,0.435191,0.433,0.447715,0.444153,0.459328,0.437623,0.000151,0.000141,0.000153,0.000152,0.000175,0.000171,0.000168,0.000196,0.000193,0.000185,0.000148,0.000143,0.593062,5.000054,0.027677,0.04102,0.070657,0.055728,5.292372,0.847275,0.658523,0.581104,0.335789,0.444622,0.462662,0.541338,0.487184,0.809795,0.799218,0.731675,0.663637,0.000163,0.000237,0.000216,0.000132,0.000187,0.000173,0.00019,0.000308,0.000235,0.000211,0.000177,0.000134,0.928111,9.912289,0.020257,0.028472,0.049635,0.030536,2.326823,0.342656,0.15621,0.087188,0.110418,0.099368,0.106766,0.11282,0.084179,0.119091,0.149178,0.153746,0.174899,0.00015,0.00014,0.000145,0.000104,0.000114,0.000117,0.00011,0.000155,0.000166,0.000158,9.4e-05,9.1e-05,0.328613,6.928565,TRSUQVH12903CB2BFE
0.081881,0.059107,0.134811,0.086008,-42.227095,4.59491,0.353708,1.388084,0.330637,0.638689,0.313339,0.333922,0.152141,0.180791,-0.022597,0.13039,0.189078,0.002276,0.002356,0.002879,0.002826,0.002367,0.002267,0.002379,0.002564,0.002201,0.001973,0.00204,0.002167,1.69853,3.677151,0.023932,0.02046,0.060539,0.027432,1.411412,0.729934,0.458949,0.504799,0.419605,0.444987,0.428711,0.40767,0.395367,0.444985,0.452751,0.424783,0.426006,0.001247,0.0012,0.001474,0.001649,0.00129,0.001228,0.00123,0.001297,0.001193,0.000995,0.001042,0.001177,0.333443,1.95147,0.032067,0.038684,0.08256,0.049864,6.08806,1.732396,0.424533,0.294095,0.274706,0.38768,0.24018,0.259064,0.345931,0.344673,0.333365,0.260032,0.365108,0.001038,0.000976,0.001208,0.001231,0.001086,0.001113,0.001168,0.001279,0.001216,0.001079,0.000985,0.001028,0.241212,1.396028,0.009578,0.022167,0.04193,0.027346,2.352057,0.344589,0.101276,0.115341,0.080662,0.090544,0.105417,0.083451,0.084097,0.110019,0.099915,0.104479,0.090184,0.000762,0.000732,0.000936,0.00104,0.000822,0.000813,0.000744,0.000802,0.000882,0.000708,0.000618,0.000723,0.143789,1.665064,TRSUQCO128F9303B4C
0.078381,0.059711,0.118103,0.092642,-50.912577,5.738254,0.715501,0.261605,0.339573,-0.061473,0.296339,0.027683,-0.003622,-0.08281,-0.178328,0.346526,0.375818,0.000122,0.000141,0.000223,0.000271,0.000207,0.000209,0.000223,0.00022,0.00018,0.000142,0.000138,0.000119,2.019983,8.159917,0.033387,0.029814,0.080019,0.032491,2.555974,1.018472,0.657476,0.694943,0.554635,0.51972,0.493552,0.523959,0.464664,0.445094,0.4263,0.433386,0.393717,8.6e-05,9.6e-05,0.000157,0.000192,0.000148,0.000182,0.000183,0.000173,0.000137,0.000103,9.7e-05,8.4e-05,0.513307,6.299828,0.035762,0.043551,0.100415,0.072939,4.409049,1.175357,0.721846,0.882013,0.647081,0.513689,0.469029,0.4275,0.394639,0.360226,0.3405,0.453996,0.282232,0.000113,0.000119,0.000209,0.000322,0.000224,0.000322,0.000347,0.000366,0.000247,0.000127,0.000112,9.6e-05,0.745444,12.205863,0.031633,0.037778,0.082526,0.042095,3.767885,0.465829,0.23288,0.282823,0.213802,0.142256,0.158701,0.14908,0.138329,0.103687,0.113533,0.128044,0.088445,0.000124,0.000123,0.000157,0.000224,0.000171,0.000338,0.000296,0.000285,0.000201,0.000112,9e-05,0.000101,0.310401,12.070976,TRSUQBM128F148CF83
0.042945,0.028716,0.211297,0.098616,-48.95492,4.0366,-1.219849,0.377426,-0.200885,0.950464,0.381515,0.505716,0.430298,0.745693,0.663671,0.504273,0.504342,0.000536,0.00046,0.000437,0.000491,0.000543,0.000594,0.000611,0.000631,0.000634,0.000605,0.000576,0.000557,1.454263,2.411491,0.016464,0.014576,0.231551,0.050227,1.525099,0.907213,0.693718,0.699047,0.670376,0.681939,0.675697,0.649201,0.613445,0.612089,0.532953,0.525313,0.498109,0.000482,0.000435,0.000423,0.000472,0.000517,0.000558,0.000587,0.000606,0.000603,0.000579,0.00055,0.000516,0.336793,1.319837,0.013219,0.02823,0.166256,0.051517,3.166601,0.635803,0.588517,0.608859,0.582157,0.934492,1.075019,1.036984,0.605219,0.540789,0.415723,0.31456,0.372485,0.000401,0.000359,0.000342,0.00038,0.000419,0.000452,0.000475,0.000483,0.00047,0.000466,0.000452,0.00043,0.271602,1.020687,0.003715,0.016666,0.181124,0.032041,2.924631,0.212804,0.131345,0.175941,0.135759,0.159541,0.158075,0.167622,0.132138,0.18307,0.099174,0.099033,0.093096,0.000365,0.000335,0.000327,0.000365,0.0004,0.000431,0.000462,0.000478,0.000464,0.000452,0.000425,0.000396,0.185557,1.177885,TRSUQGU128F427D54A
